epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9392,2.77462,4.87821,4.9846,2.38179,0,0.00103,0.31671,0.00806,0.00165,0.00014,0.03857,3e-05,0,2.87469,5.3406,3.90187,3.01366,0,0.000550615,0.000550615,0.000550615
2,17.1551,2.63482,4.62645,3.95284,2.27897,0,0.00545,0.1134,0.004,0.00089,0.00278,0.02269,0.00128,0.00023,2.88746,5.11885,4.44408,3.15037,0,0.00109533,0.00109533,0.00109533
3,23.2547,2.63654,4.60122,3.48785,2.27274,0,0.036,0.10227,0.04803,0.00924,0.03582,0.02841,0.01059,0.00172,2.66609,4.97341,3.42458,2.41839,0,0.00162904,0.00162904,0.00162904
4,29.308,2.55618,4.49378,3.23679,2.22917,0,0.51746,0.02273,0.04074,0.00978,0.5131,0.01705,0.01097,0.00256,2.83735,4.93546,3.51278,2.79156,0,0.00161749,0.00161749,0.00161749
5,35.609,2.45856,4.37103,2.94495,2.18819,0,0.10038,0.22016,0.07392,0.01586,0.04048,0.09988,0.01083,0.00143,2.57252,4.87399,3.15825,2.31478,0,0.00160099,0.00160099,0.00160099
6,41.7381,2.42672,4.26217,2.79105,2.18722,0,0.16271,0.37005,0.15124,0.04327,0.13865,0.20327,0.09403,0.01902,2.39372,4.67249,2.86524,2.21115,0,0.00158448,0.00158448,0.00158448
7,47.8137,2.31193,4.16729,2.60643,2.05088,0,0.20915,0.30516,0.17033,0.03856,0.08814,0.24637,0.05681,0.01051,2.71105,4.62641,2.53391,2.54199,0,0.00156798,0.00156798,0.00156798
8,53.893,2.31087,4.13616,2.49277,2.02796,0,0.31654,0.45744,0.26099,0.07544,0.24471,0.34512,0.15251,0.03214,2.26255,4.22365,2.26328,2.07114,0,0.00155148,0.00155148,0.00155148
9,59.9311,2.26071,4.00444,2.30465,1.97494,0,0.35376,0.20996,0.20952,0.06679,0.16361,0.10672,0.05653,0.01101,2.33565,4.84905,2.84702,2.03838,0,0.00153497,0.00153497,0.00153497
10,66.0068,2.21142,3.97966,2.24004,1.87123,0,0.44764,0.64913,0.4599,0.17256,0.35401,0.49157,0.30635,0.08691,2.0162,4.12833,2.00843,1.83193,0,0.00151847,0.00151847,0.00151847
