epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84499,3.0654,5.5924,5.62824,2.74903,0,0.00102,0.30876,0.00135,0.00026,9e-05,0.02703,8e-05,2e-05,2.95504,5.63717,4.26921,3.07305,0,0.00053344,0.00053344,0.00053344
2,5.67324,2.81089,4.85603,4.62336,2.45411,0,0.00126,0.37633,0.00068,0.00014,0.00023,0.06757,4e-05,0,2.93659,5.44931,4.34475,3.0834,0,0.00107282,0.00107282,0.00107282
3,7.45339,2.6999,4.75923,4.26908,2.33068,0,0.00253,0.75717,0.0074,0.00177,0.00096,0.29197,0.00325,0.00043,2.9013,5.29725,3.93197,2.68983,0,0.00160131,0.00160131,0.00160131
4,9.27812,2.68358,4.70731,4.01383,2.41504,0,0.00085,0.29894,0.00035,8e-05,0.0003,0.06757,0.00012,2e-05,3.20597,7.30072,31.4809,3.43496,0,0.00161749,0.00161749,0.00161749
5,11.1,2.71275,4.80901,4.03651,2.48436,0,0.51199,0.01351,0.00139,0.00021,0.00119,0.36446,0.00071,0.00014,3.2623,5.28227,11.7033,3.11784,0,0.00160099,0.00160099,0.00160099
6,12.8782,2.80366,4.7481,3.82059,2.43805,0,0.00323,0.38124,0.00211,0.00045,0.00068,0.22113,0.00028,4e-05,3.04434,5.36862,4.60619,2.83418,0,0.00158448,0.00158448,0.00158448
7,14.6522,2.6635,4.5811,3.66991,2.44041,0,0.00297,0.82473,0.03473,0.00585,0.00136,0.44226,0.00285,0.00044,2.74509,5.15674,3.38933,2.59091,0,0.00156798,0.00156798,0.00156798
8,16.4606,2.58407,4.55494,3.46502,2.41414,0,0.53013,0.22973,0.09217,0.02295,0.55119,0.04054,0.03079,0.00593,2.65196,5.15503,3.59156,2.53202,0,0.00155148,0.00155148,0.00155148
9,18.2431,2.48367,4.53796,3.27787,2.39287,0,0.09601,0.20434,0.05515,0.01068,0.00606,0.05405,0.00302,0.00048,2.78679,5.11824,3.39109,2.88593,0,0.00153497,0.00153497,0.00153497
10,20.0308,2.57412,4.49791,3.17376,2.44092,0,0.58037,0.02703,0.07074,0.01407,0.00185,0.54996,0.00909,0.00148,2.76206,4.88256,3.19897,2.67119,0,0.00151847,0.00151847,0.00151847
11,21.8169,2.44485,4.36649,3.11415,2.3344,0,0.00248,0.70352,0.03506,0.00934,0.00163,0.46396,0.02203,0.00244,2.77739,4.92042,3.45746,2.86071,0,0.00150197,0.00150197,0.00150197
12,23.6059,2.41925,4.31982,3.01621,2.36905,0,0.13301,0.20762,0.14368,0.03572,0.03091,0.04054,0.03258,0.0039,2.70874,6.14328,3.22536,2.50905,0,0.00148546,0.00148546,0.00148546
13,25.4032,2.4476,4.4518,2.99609,2.37232,0,0.02447,0.08108,0.04951,0.01011,0.02977,0.08108,0.0167,0.00325,2.88376,4.78539,3.02261,2.67263,0,0.00146896,0.00146896,0.00146896
14,27.1993,2.41762,4.45598,2.99075,2.32959,0,0.34423,0.3415,0.21266,0.04834,0.06427,0.16216,0.0472,0.00911,2.61702,4.80735,2.91289,2.51329,0,0.00145246,0.00145246,0.00145246
15,28.9835,2.42741,4.34001,2.8964,2.3245,0,0.18799,0.21172,0.11654,0.03174,0.04623,0.14865,0.02369,0.00602,2.45703,5.15851,2.85824,2.51908,0,0.00143595,0.00143595,0.00143595
16,30.7574,2.36089,4.3233,2.8441,2.27821,0,0.07372,0.31245,0.10841,0.03283,0.07547,0.34111,0.07122,0.01985,2.50605,4.64493,2.98569,2.32662,0,0.00141945,0.00141945,0.00141945
17,32.5171,2.32542,4.24345,2.7358,2.21445,0,0.2041,0.21991,0.12875,0.03571,0.06292,0.12162,0.04502,0.0102,2.18002,4.5731,2.59353,2.44308,0,0.00140295,0.00140295,0.00140295
18,34.2901,2.28399,4.17941,2.66375,2.2297,0,0.155,0.25839,0.12746,0.03674,0.26494,0.23301,0.10227,0.02246,2.61232,4.61354,2.67977,2.74601,0,0.00138644,0.00138644,0.00138644
19,36.0716,2.28299,4.16755,2.6493,2.22233,0,0.32948,0.2498,0.25671,0.06601,0.2112,0.15029,0.11533,0.02818,2.33191,4.61375,2.48767,2.65295,0,0.00136994,0.00136994,0.00136994
20,37.8416,2.2795,4.04542,2.49598,2.28634,0,0.2138,0.25195,0.18727,0.05249,0.12159,0.20456,0.11225,0.03558,2.32624,4.40635,2.7502,2.68779,0,0.00135344,0.00135344,0.00135344
21,39.6044,2.1946,4.03751,2.51387,2.2897,0,0.21843,0.34275,0.21272,0.07991,0.09891,0.24324,0.09839,0.02924,2.16132,4.49085,2.47705,2.43811,0,0.00133693,0.00133693,0.00133693
