[INFO] Session log file: dataset/debug/session_20260519_132034.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517784909, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785009, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=3, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785109, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=4, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2517785142, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=5, depth_sets=1, color=1280×720,OBFormat.RGB,ts=2517785209, depth=640×576,OBFormat.Y16,ts=2517785210
[DEBUG] frames: total=6, depth_sets=2, color=1280×720,OBFormat.RGB,ts=2517785342, depth=640×576,OBFormat.Y16,ts=2517785343
[DEBUG] frames: total=7, depth_sets=2, color=1280×720,OBFormat.RGB,ts=2517785475, depth=None
[INFO] Using cached color+depth pair (dt=132)
[DEBUG] frames: total=8, depth_sets=3, color=1280×720,OBFormat.RGB,ts=2517785641, depth=640×576,OBFormat.Y16,ts=2517785642
[DEBUG] frames: total=9, depth_sets=4, color=1280×720,OBFormat.RGB,ts=2517785708, depth=640×576,OBFormat.Y16,ts=2517785709
[DEBUG] frames: total=10, depth_sets=5, color=1280×720,OBFormat.RGB,ts=2517785807, depth=640×576,OBFormat.Y16,ts=2517785808
[DEBUG] frames: total=11, depth_sets=6, color=1280×720,OBFormat.RGB,ts=2517785841, depth=640×576,OBFormat.Y16,ts=2517785842
[DEBUG] frames: total=12, depth_sets=7, color=1280×720,OBFormat.RGB,ts=2517785940, depth=640×576,OBFormat.Y16,ts=2517785941
[DEBUG] frames: total=13, depth_sets=8, color=1280×720,OBFormat.RGB,ts=2517786073, depth=640×576,OBFormat.Y16,ts=2517786074
[DEBUG] frames: total=14, depth_sets=9, color=1280×720,OBFormat.RGB,ts=2517786206, depth=640×576,OBFormat.Y16,ts=2517786207
[DEBUG] frames: total=15, depth_sets=10, color=1280×720,OBFormat.RGB,ts=2517786306, depth=640×576,OBFormat.Y16,ts=2517786307
[DEBUG] frames: total=16, depth_sets=11, color=1280×720,OBFormat.RGB,ts=2517786406, depth=640×576,OBFormat.Y16,ts=2517786407
[DEBUG] frames: total=17, depth_sets=12, color=1280×720,OBFormat.RGB,ts=2517786506, depth=640×576,OBFormat.Y16,ts=2517786507
[DEBUG] frames: total=18, depth_sets=13, color=1280×720,OBFormat.RGB,ts=2517786639, depth=640×576,OBFormat.Y16,ts=2517786640
[DEBUG] frames: total=19, depth_sets=14, color=1280×720,OBFormat.RGB,ts=2517786705, depth=640×576,OBFormat.Y16,ts=2517786706
[DEBUG] frames: total=20, depth_sets=15, color=1280×720,OBFormat.RGB,ts=2517786805, depth=640×576,OBFormat.Y16,ts=2517786806
[DEBUG] frames: total=21, depth_sets=16, color=1280×720,OBFormat.RGB,ts=2517786971, depth=640×576,OBFormat.Y16,ts=2517786972
[DEBUG] frames: total=22, depth_sets=17, color=1280×720,OBFormat.RGB,ts=2517787104, depth=640×576,OBFormat.Y16,ts=2517787105
[DEBUG] frames: total=23, depth_sets=18, color=1280×720,OBFormat.RGB,ts=2517787171, depth=640×576,OBFormat.Y16,ts=2517787172
[DEBUG] frames: total=24, depth_sets=19, color=1280×720,OBFormat.RGB,ts=2517787270, depth=640×576,OBFormat.Y16,ts=2517787272
[DEBUG] frames: total=25, depth_sets=20, color=1280×720,OBFormat.RGB,ts=2517787370, depth=640×576,OBFormat.Y16,ts=2517787371
[DEBUG] frames: total=26, depth_sets=21, color=1280×720,OBFormat.RGB,ts=2517787470, depth=640×576,OBFormat.Y16,ts=2517787471
[DEBUG] frames: total=27, depth_sets=22, color=1280×720,OBFormat.RGB,ts=2517787570, depth=640×576,OBFormat.Y16,ts=2517787571
[DEBUG] frames: total=28, depth_sets=23, color=1280×720,OBFormat.RGB,ts=2517787636, depth=640×576,OBFormat.Y16,ts=2517787637
[DEBUG] frames: total=29, depth_sets=24, color=1280×720,OBFormat.RGB,ts=2517787736, depth=640×576,OBFormat.Y16,ts=2517787737
[DEBUG] frames: total=30, depth_sets=25, color=1280×720,OBFormat.RGB,ts=2517787802, depth=640×576,OBFormat.Y16,ts=2517787804
[DEBUG] frames: total=31, depth_sets=26, color=1280×720,OBFormat.RGB,ts=2517787935, depth=640×576,OBFormat.Y16,ts=2517787937
[DEBUG] frames: total=32, depth_sets=27, color=1280×720,OBFormat.RGB,ts=2517788069, depth=640×576,OBFormat.Y16,ts=2517788070
[DEBUG] frames: total=33, depth_sets=28, color=1280×720,OBFormat.RGB,ts=2517788135, depth=640×576,OBFormat.Y16,ts=2517788136
[DEBUG] frames: total=34, depth_sets=29, color=1280×720,OBFormat.RGB,ts=2517788235, depth=640×576,OBFormat.Y16,ts=2517788236
[DEBUG] frames: total=35, depth_sets=30, color=1280×720,OBFormat.RGB,ts=2517788335, depth=640×576,OBFormat.Y16,ts=2517788336
[DEBUG] frames: total=36, depth_sets=31, color=1280×720,OBFormat.RGB,ts=2517788434, depth=640×576,OBFormat.Y16,ts=2517788435
[DEBUG] frames: total=37, depth_sets=32, color=1280×720,OBFormat.RGB,ts=2517788534, depth=640×576,OBFormat.Y16,ts=2517788535
[DEBUG] frames: total=38, depth_sets=33, color=1280×720,OBFormat.RGB,ts=2517788634, depth=640×576,OBFormat.Y16,ts=2517788635
[DEBUG] frames: total=39, depth_sets=34, color=1280×720,OBFormat.RGB,ts=2517788700, depth=640×576,OBFormat.Y16,ts=2517788701
[DEBUG] frames: total=40, depth_sets=35, color=1280×720,OBFormat.RGB,ts=2517788767, depth=640×576,OBFormat.Y16,ts=2517788768
[DEBUG] frames: total=41, depth_sets=36, color=1280×720,OBFormat.RGB,ts=2517788867, depth=640×576,OBFormat.Y16,ts=2517788868
[DEBUG] frames: total=42, depth_sets=37, color=1280×720,OBFormat.RGB,ts=2517788933, depth=640×576,OBFormat.Y16,ts=2517788934
[DEBUG] frames: total=43, depth_sets=38, color=1280×720,OBFormat.RGB,ts=2517789033, depth=640×576,OBFormat.Y16,ts=2517789034
[DEBUG] frames: total=44, depth_sets=39, color=1280×720,OBFormat.RGB,ts=2517789099, depth=640×576,OBFormat.Y16,ts=2517789100
[DEBUG] frames: total=45, depth_sets=40, color=1280×720,OBFormat.RGB,ts=2517789166, depth=640×576,OBFormat.Y16,ts=2517789167
[DEBUG] frames: total=46, depth_sets=41, color=1280×720,OBFormat.RGB,ts=2517789266, depth=640×576,OBFormat.Y16,ts=2517789267
[DEBUG] frames: total=47, depth_sets=42, color=1280×720,OBFormat.RGB,ts=2517789332, depth=640×576,OBFormat.Y16,ts=2517789333
[DEBUG] frames: total=48, depth_sets=43, color=1280×720,OBFormat.RGB,ts=2517789399, depth=640×576,OBFormat.Y16,ts=2517789400
[DEBUG] frames: total=49, depth_sets=44, color=1280×720,OBFormat.RGB,ts=2517789498, depth=640×576,OBFormat.Y16,ts=2517789499
[DEBUG] frames: total=50, depth_sets=45, color=1280×720,OBFormat.RGB,ts=2517789565, depth=640×576,OBFormat.Y16,ts=2517789566
[DEBUG] frames: total=51, depth_sets=46, color=1280×720,OBFormat.RGB,ts=2517789665, depth=640×576,OBFormat.Y16,ts=2517789666
[DEBUG] frames: total=52, depth_sets=47, color=1280×720,OBFormat.RGB,ts=2517789731, depth=640×576,OBFormat.Y16,ts=2517789732
[DEBUG] frames: total=53, depth_sets=48, color=1280×720,OBFormat.RGB,ts=2517789831, depth=640×576,OBFormat.Y16,ts=2517789832
[DEBUG] frames: total=54, depth_sets=49, color=1280×720,OBFormat.RGB,ts=2517789897, depth=640×576,OBFormat.Y16,ts=2517789898
[DEBUG] frames: total=55, depth_sets=50, color=1280×720,OBFormat.RGB,ts=2517789997, depth=640×576,OBFormat.Y16,ts=2517789998
[DEBUG] frames: total=56, depth_sets=51, color=1280×720,OBFormat.RGB,ts=2517790064, depth=640×576,OBFormat.Y16,ts=2517790065
[DEBUG] frames: total=57, depth_sets=52, color=1280×720,OBFormat.RGB,ts=2517790163, depth=640×576,OBFormat.Y16,ts=2517790164
[DEBUG] frames: total=58, depth_sets=53, color=1280×720,OBFormat.RGB,ts=2517790230, depth=640×576,OBFormat.Y16,ts=2517790231
[DEBUG] frames: total=59, depth_sets=54, color=1280×720,OBFormat.RGB,ts=2517790330, depth=640×576,OBFormat.Y16,ts=2517790331
[DEBUG] frames: total=60, depth_sets=55, color=1280×720,OBFormat.RGB,ts=2517790396, depth=640×576,OBFormat.Y16,ts=2517790397
[DEBUG] frames: total=61, depth_sets=56, color=1280×720,OBFormat.RGB,ts=2517790463, depth=640×576,OBFormat.Y16,ts=2517790464
[DEBUG] frames: total=62, depth_sets=57, color=1280×720,OBFormat.RGB,ts=2517790562, depth=640×576,OBFormat.Y16,ts=2517790563
[DEBUG] frames: total=63, depth_sets=58, color=1280×720,OBFormat.RGB,ts=2517790629, depth=640×576,OBFormat.Y16,ts=2517790630
[DEBUG] frames: total=64, depth_sets=59, color=1280×720,OBFormat.RGB,ts=2517790729, depth=640×576,OBFormat.Y16,ts=2517790730
[DEBUG] frames: total=65, depth_sets=60, color=1280×720,OBFormat.RGB,ts=2517790795, depth=640×576,OBFormat.Y16,ts=2517790796
[DEBUG] frames: total=66, depth_sets=61, color=1280×720,OBFormat.RGB,ts=2517790862, depth=640×576,OBFormat.Y16,ts=2517790863
[DEBUG] frames: total=67, depth_sets=62, color=1280×720,OBFormat.RGB,ts=2517790961, depth=640×576,OBFormat.Y16,ts=2517790962
[DEBUG] frames: total=68, depth_sets=63, color=1280×720,OBFormat.RGB,ts=2517791028, depth=640×576,OBFormat.Y16,ts=2517791029
