[INFO] Session log file: dataset/debug/session_20260519_180445.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2534835624, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2534835691, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=3, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2534835724, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=4, depth_sets=1, color=1280×720,OBFormat.RGB,ts=2534835791, depth=640×576,OBFormat.Y16,ts=2534835792
[DEBUG] frames: total=5, depth_sets=2, color=1280×720,OBFormat.RGB,ts=2534836023, depth=640×576,OBFormat.Y16,ts=2534836025
[DEBUG] frames: total=6, depth_sets=3, color=1280×720,OBFormat.RGB,ts=2534836156, depth=640×576,OBFormat.Y16,ts=2534836158
[DEBUG] frames: total=7, depth_sets=4, color=1280×720,OBFormat.RGB,ts=2534836223, depth=640×576,OBFormat.Y16,ts=2534836224
[DEBUG] frames: total=8, depth_sets=5, color=1280×720,OBFormat.RGB,ts=2534836323, depth=640×576,OBFormat.Y16,ts=2534836324
[DEBUG] frames: total=9, depth_sets=6, color=1280×720,OBFormat.RGB,ts=2534836456, depth=640×576,OBFormat.Y16,ts=2534836457
[DEBUG] frames: total=10, depth_sets=7, color=1280×720,OBFormat.RGB,ts=2534836556, depth=640×576,OBFormat.Y16,ts=2534836557
[DEBUG] frames: total=11, depth_sets=8, color=1280×720,OBFormat.RGB,ts=2534836655, depth=640×576,OBFormat.Y16,ts=2534836656
[DEBUG] frames: total=12, depth_sets=9, color=1280×720,OBFormat.RGB,ts=2534836788, depth=640×576,OBFormat.Y16,ts=2534836789
[DEBUG] frames: total=13, depth_sets=10, color=1280×720,OBFormat.RGB,ts=2534836921, depth=640×576,OBFormat.Y16,ts=2534836922
[DEBUG] frames: total=14, depth_sets=11, color=1280×720,OBFormat.RGB,ts=2534837021, depth=640×576,OBFormat.Y16,ts=2534837022
[DEBUG] frames: total=15, depth_sets=12, color=1280×720,OBFormat.RGB,ts=2534837121, depth=640×576,OBFormat.Y16,ts=2534837122
[DEBUG] frames: total=16, depth_sets=13, color=1280×720,OBFormat.RGB,ts=2534837187, depth=640×576,OBFormat.Y16,ts=2534837188
[DEBUG] frames: total=17, depth_sets=14, color=1280×720,OBFormat.RGB,ts=2534837254, depth=640×576,OBFormat.Y16,ts=2534837255
[DEBUG] frames: total=18, depth_sets=15, color=1280×720,OBFormat.RGB,ts=2534837354, depth=640×576,OBFormat.Y16,ts=2534837355
[DEBUG] frames: total=19, depth_sets=16, color=1280×720,OBFormat.RGB,ts=2534837420, depth=640×576,OBFormat.Y16,ts=2534837421
[DEBUG] frames: total=20, depth_sets=17, color=1280×720,OBFormat.RGB,ts=2534837487, depth=640×576,OBFormat.Y16,ts=2534837488
[DEBUG] frames: total=21, depth_sets=18, color=1280×720,OBFormat.RGB,ts=2534837553, depth=640×576,OBFormat.Y16,ts=2534837554
[DEBUG] frames: total=22, depth_sets=19, color=1280×720,OBFormat.RGB,ts=2534837686, depth=640×576,OBFormat.Y16,ts=2534837687
[DEBUG] frames: total=23, depth_sets=20, color=1280×720,OBFormat.RGB,ts=2534837886, depth=640×576,OBFormat.Y16,ts=2534837887
[DEBUG] frames: total=24, depth_sets=21, color=1280×720,OBFormat.RGB,ts=2534837985, depth=640×576,OBFormat.Y16,ts=2534837987
[DEBUG] frames: total=25, depth_sets=22, color=1280×720,OBFormat.RGB,ts=2534838085, depth=640×576,OBFormat.Y16,ts=2534838086
[DEBUG] frames: total=26, depth_sets=23, color=1280×720,OBFormat.RGB,ts=2534838218, depth=640×576,OBFormat.Y16,ts=2534838219
[DEBUG] frames: total=27, depth_sets=24, color=1280×720,OBFormat.RGB,ts=2534838318, depth=640×576,OBFormat.Y16,ts=2534838319
[DEBUG] frames: total=28, depth_sets=25, color=1280×720,OBFormat.RGB,ts=2534838418, depth=640×576,OBFormat.Y16,ts=2534838419
[DEBUG] frames: total=29, depth_sets=26, color=1280×720,OBFormat.RGB,ts=2534838484, depth=640×576,OBFormat.Y16,ts=2534838485
[DEBUG] frames: total=30, depth_sets=27, color=1280×720,OBFormat.RGB,ts=2534838584, depth=640×576,OBFormat.Y16,ts=2534838585
[DEBUG] frames: total=31, depth_sets=28, color=1280×720,OBFormat.RGB,ts=2534838684, depth=640×576,OBFormat.Y16,ts=2534838685
[DEBUG] frames: total=32, depth_sets=29, color=1280×720,OBFormat.RGB,ts=2534838783, depth=640×576,OBFormat.Y16,ts=2534838785
[DEBUG] frames: total=33, depth_sets=30, color=1280×720,OBFormat.RGB,ts=2534838883, depth=640×576,OBFormat.Y16,ts=2534838884
[DEBUG] frames: total=34, depth_sets=31, color=1280×720,OBFormat.RGB,ts=2534838983, depth=640×576,OBFormat.Y16,ts=2534838984
[DEBUG] frames: total=35, depth_sets=32, color=1280×720,OBFormat.RGB,ts=2534839116, depth=640×576,OBFormat.Y16,ts=2534839117
[DEBUG] frames: total=36, depth_sets=33, color=1280×720,OBFormat.RGB,ts=2534839216, depth=640×576,OBFormat.Y16,ts=2534839217
[DEBUG] frames: total=37, depth_sets=34, color=1280×720,OBFormat.RGB,ts=2534839315, depth=640×576,OBFormat.Y16,ts=2534839317
[DEBUG] frames: total=38, depth_sets=35, color=1280×720,OBFormat.RGB,ts=2534839415, depth=640×576,OBFormat.Y16,ts=2534839416
