[INFO] Session log file: dataset/debug/session_20260520_163352.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2615783911, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2615784077, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=3, depth_sets=1, color=1280×720,OBFormat.RGB,ts=2615784144, depth=640×576,OBFormat.Y16,ts=2615784145
[DEBUG] frames: total=4, depth_sets=2, color=1280×720,OBFormat.RGB,ts=2615784410, depth=640×576,OBFormat.Y16,ts=2615784411
[DEBUG] frames: total=5, depth_sets=3, color=1280×720,OBFormat.RGB,ts=2615784576, depth=640×576,OBFormat.Y16,ts=2615784577
[DEBUG] frames: total=6, depth_sets=4, color=1280×720,OBFormat.RGB,ts=2615784709, depth=640×576,OBFormat.Y16,ts=2615784710
[DEBUG] frames: total=7, depth_sets=5, color=1280×720,OBFormat.RGB,ts=2615784909, depth=640×576,OBFormat.Y16,ts=2615784910
[DEBUG] frames: total=8, depth_sets=6, color=1280×720,OBFormat.RGB,ts=2615785008, depth=640×576,OBFormat.Y16,ts=2615785010
[DEBUG] frames: total=9, depth_sets=7, color=1280×720,OBFormat.RGB,ts=2615785141, depth=640×576,OBFormat.Y16,ts=2615785143
[DEBUG] frames: total=10, depth_sets=8, color=1280×720,OBFormat.RGB,ts=2615785208, depth=640×576,OBFormat.Y16,ts=2615785209
[DEBUG] frames: total=11, depth_sets=9, color=1280×720,OBFormat.RGB,ts=2615785341, depth=640×576,OBFormat.Y16,ts=2615785342
[DEBUG] frames: total=12, depth_sets=10, color=1280×720,OBFormat.RGB,ts=2615785441, depth=640×576,OBFormat.Y16,ts=2615785442
[DEBUG] frames: total=13, depth_sets=11, color=1280×720,OBFormat.RGB,ts=2615785507, depth=640×576,OBFormat.Y16,ts=2615785508
[DEBUG] frames: total=14, depth_sets=12, color=1280×720,OBFormat.RGB,ts=2615785574, depth=640×576,OBFormat.Y16,ts=2615785575
[DEBUG] frames: total=15, depth_sets=13, color=1280×720,OBFormat.RGB,ts=2615785674, depth=640×576,OBFormat.Y16,ts=2615785675
[DEBUG] frames: total=16, depth_sets=14, color=1280×720,OBFormat.RGB,ts=2615785740, depth=640×576,OBFormat.Y16,ts=2615785741
[DEBUG] frames: total=17, depth_sets=15, color=1280×720,OBFormat.RGB,ts=2615785807, depth=640×576,OBFormat.Y16,ts=2615785808
[DEBUG] frames: total=18, depth_sets=16, color=1280×720,OBFormat.RGB,ts=2615785873, depth=640×576,OBFormat.Y16,ts=2615785874
[DEBUG] frames: total=19, depth_sets=17, color=1280×720,OBFormat.RGB,ts=2615785940, depth=640×576,OBFormat.Y16,ts=2615785941
[DEBUG] frames: total=20, depth_sets=18, color=1280×720,OBFormat.RGB,ts=2615786006, depth=640×576,OBFormat.Y16,ts=2615786007
[DEBUG] frames: total=21, depth_sets=19, color=1280×720,OBFormat.RGB,ts=2615786106, depth=640×576,OBFormat.Y16,ts=2615786107
[DEBUG] frames: total=22, depth_sets=20, color=1280×720,OBFormat.RGB,ts=2615786239, depth=640×576,OBFormat.Y16,ts=2615786240
[DEBUG] frames: total=23, depth_sets=21, color=1280×720,OBFormat.RGB,ts=2615786372, depth=640×576,OBFormat.Y16,ts=2615786373
[DEBUG] frames: total=24, depth_sets=22, color=1280×720,OBFormat.RGB,ts=2615786472, depth=640×576,OBFormat.Y16,ts=2615786473
[DEBUG] frames: total=25, depth_sets=23, color=1280×720,OBFormat.RGB,ts=2615786538, depth=640×576,OBFormat.Y16,ts=2615786539
[DEBUG] frames: total=26, depth_sets=24, color=1280×720,OBFormat.RGB,ts=2615786638, depth=640×576,OBFormat.Y16,ts=2615786639
[DEBUG] frames: total=27, depth_sets=25, color=1280×720,OBFormat.RGB,ts=2615786704, depth=640×576,OBFormat.Y16,ts=2615786705
[DEBUG] frames: total=28, depth_sets=26, color=1280×720,OBFormat.RGB,ts=2615786804, depth=640×576,OBFormat.Y16,ts=2615786805
[DEBUG] frames: total=29, depth_sets=27, color=1280×720,OBFormat.RGB,ts=2615786904, depth=640×576,OBFormat.Y16,ts=2615786905
[DEBUG] frames: total=30, depth_sets=28, color=1280×720,OBFormat.RGB,ts=2615786970, depth=640×576,OBFormat.Y16,ts=2615786971
[DEBUG] frames: total=31, depth_sets=29, color=1280×720,OBFormat.RGB,ts=2615787070, depth=640×576,OBFormat.Y16,ts=2615787071
[DEBUG] frames: total=32, depth_sets=30, color=1280×720,OBFormat.RGB,ts=2615787137, depth=640×576,OBFormat.Y16,ts=2615787138
[DEBUG] frames: total=33, depth_sets=31, color=1280×720,OBFormat.RGB,ts=2615787236, depth=640×576,OBFormat.Y16,ts=2615787237
[DEBUG] frames: total=34, depth_sets=32, color=1280×720,OBFormat.RGB,ts=2615787303, depth=640×576,OBFormat.Y16,ts=2615787304
[DEBUG] frames: total=35, depth_sets=33, color=1280×720,OBFormat.RGB,ts=2615787403, depth=640×576,OBFormat.Y16,ts=2615787404
[DEBUG] frames: total=36, depth_sets=34, color=1280×720,OBFormat.RGB,ts=2615787469, depth=640×576,OBFormat.Y16,ts=2615787470
[DEBUG] frames: total=37, depth_sets=35, color=1280×720,OBFormat.RGB,ts=2615787569, depth=640×576,OBFormat.Y16,ts=2615787570
[DEBUG] frames: total=38, depth_sets=36, color=1280×720,OBFormat.RGB,ts=2615787669, depth=640×576,OBFormat.Y16,ts=2615787670
[DEBUG] frames: total=39, depth_sets=37, color=1280×720,OBFormat.RGB,ts=2615787735, depth=640×576,OBFormat.Y16,ts=2615787736
[DEBUG] frames: total=40, depth_sets=38, color=1280×720,OBFormat.RGB,ts=2615787835, depth=640×576,OBFormat.Y16,ts=2615787836
[DEBUG] frames: total=41, depth_sets=39, color=1280×720,OBFormat.RGB,ts=2615787901, depth=640×576,OBFormat.Y16,ts=2615787903
[DEBUG] frames: total=42, depth_sets=40, color=1280×720,OBFormat.RGB,ts=2615788001, depth=640×576,OBFormat.Y16,ts=2615788002
[DEBUG] frames: total=43, depth_sets=41, color=1280×720,OBFormat.RGB,ts=2615788068, depth=640×576,OBFormat.Y16,ts=2615788069
[DEBUG] frames: total=44, depth_sets=42, color=1280×720,OBFormat.RGB,ts=2615788167, depth=640×576,OBFormat.Y16,ts=2615788169
[DEBUG] frames: total=45, depth_sets=43, color=1280×720,OBFormat.RGB,ts=2615788267, depth=640×576,OBFormat.Y16,ts=2615788268
[DEBUG] frames: total=46, depth_sets=44, color=1280×720,OBFormat.RGB,ts=2615788334, depth=640×576,OBFormat.Y16,ts=2615788335
[DEBUG] frames: total=47, depth_sets=45, color=1280×720,OBFormat.RGB,ts=2615788433, depth=640×576,OBFormat.Y16,ts=2615788435
[DEBUG] frames: total=48, depth_sets=46, color=1280×720,OBFormat.RGB,ts=2615788533, depth=640×576,OBFormat.Y16,ts=2615788534
[DEBUG] frames: total=49, depth_sets=47, color=1280×720,OBFormat.RGB,ts=2615788600, depth=640×576,OBFormat.Y16,ts=2615788601
[DEBUG] frames: total=50, depth_sets=48, color=1280×720,OBFormat.RGB,ts=2615788699, depth=640×576,OBFormat.Y16,ts=2615788701
[DEBUG] frames: total=51, depth_sets=49, color=1280×720,OBFormat.RGB,ts=2615788799, depth=640×576,OBFormat.Y16,ts=2615788800
[DEBUG] frames: total=52, depth_sets=50, color=1280×720,OBFormat.RGB,ts=2615788866, depth=640×576,OBFormat.Y16,ts=2615788867
[DEBUG] frames: total=53, depth_sets=51, color=1280×720,OBFormat.RGB,ts=2615788965, depth=640×576,OBFormat.Y16,ts=2615788967
[DEBUG] frames: total=54, depth_sets=52, color=1280×720,OBFormat.RGB,ts=2615789032, depth=640×576,OBFormat.Y16,ts=2615789033
[DEBUG] frames: total=55, depth_sets=53, color=1280×720,OBFormat.RGB,ts=2615789132, depth=640×576,OBFormat.Y16,ts=2615789133
[DEBUG] frames: total=56, depth_sets=54, color=1280×720,OBFormat.RGB,ts=2615789198, depth=640×576,OBFormat.Y16,ts=2615789199
[DEBUG] frames: total=57, depth_sets=55, color=1280×720,OBFormat.RGB,ts=2615789298, depth=640×576,OBFormat.Y16,ts=2615789299
[DEBUG] frames: total=58, depth_sets=56, color=1280×720,OBFormat.RGB,ts=2615789365, depth=640×576,OBFormat.Y16,ts=2615789366
[DEBUG] frames: total=59, depth_sets=57, color=1280×720,OBFormat.RGB,ts=2615789464, depth=640×576,OBFormat.Y16,ts=2615789465
[DEBUG] frames: total=60, depth_sets=58, color=1280×720,OBFormat.RGB,ts=2615789531, depth=640×576,OBFormat.Y16,ts=2615789532
[DEBUG] frames: total=61, depth_sets=59, color=1280×720,OBFormat.RGB,ts=2615789631, depth=640×576,OBFormat.Y16,ts=2615789632
[DEBUG] frames: total=62, depth_sets=60, color=1280×720,OBFormat.RGB,ts=2615789730, depth=640×576,OBFormat.Y16,ts=2615789731
[DEBUG] frames: total=63, depth_sets=61, color=1280×720,OBFormat.RGB,ts=2615789797, depth=640×576,OBFormat.Y16,ts=2615789798
[DEBUG] frames: total=64, depth_sets=62, color=1280×720,OBFormat.RGB,ts=2615789863, depth=640×576,OBFormat.Y16,ts=2615789864
[DEBUG] frames: total=65, depth_sets=63, color=1280×720,OBFormat.RGB,ts=2615789930, depth=640×576,OBFormat.Y16,ts=2615789931
[DEBUG] frames: total=66, depth_sets=64, color=1280×720,OBFormat.RGB,ts=2615789996, depth=640×576,OBFormat.Y16,ts=2615789997
[DEBUG] frames: total=67, depth_sets=65, color=1280×720,OBFormat.RGB,ts=2615790096, depth=640×576,OBFormat.Y16,ts=2615790097
[DEBUG] frames: total=68, depth_sets=66, color=1280×720,OBFormat.RGB,ts=2615790196, depth=640×576,OBFormat.Y16,ts=2615790197
[DEBUG] frames: total=69, depth_sets=67, color=1280×720,OBFormat.RGB,ts=2615790296, depth=640×576,OBFormat.Y16,ts=2615790297
[DEBUG] frames: total=70, depth_sets=68, color=1280×720,OBFormat.RGB,ts=2615790362, depth=640×576,OBFormat.Y16,ts=2615790363
[DEBUG] frames: total=71, depth_sets=69, color=1280×720,OBFormat.RGB,ts=2615790462, depth=640×576,OBFormat.Y16,ts=2615790463
[DEBUG] frames: total=72, depth_sets=70, color=1280×720,OBFormat.RGB,ts=2615790528, depth=640×576,OBFormat.Y16,ts=2615790530
[DEBUG] frames: total=73, depth_sets=71, color=1280×720,OBFormat.RGB,ts=2615790628, depth=640×576,OBFormat.Y16,ts=2615790629
[DEBUG] frames: total=74, depth_sets=72, color=1280×720,OBFormat.RGB,ts=2615790728, depth=640×576,OBFormat.Y16,ts=2615790729
[DEBUG] frames: total=75, depth_sets=73, color=1280×720,OBFormat.RGB,ts=2615790794, depth=640×576,OBFormat.Y16,ts=2615790796
[DEBUG] frames: total=76, depth_sets=74, color=1280×720,OBFormat.RGB,ts=2615790894, depth=640×576,OBFormat.Y16,ts=2615790895
[DEBUG] frames: total=77, depth_sets=75, color=1280×720,OBFormat.RGB,ts=2615790961, depth=640×576,OBFormat.Y16,ts=2615790962
[DEBUG] frames: total=78, depth_sets=76, color=1280×720,OBFormat.RGB,ts=2615791060, depth=640×576,OBFormat.Y16,ts=2615791062
[DEBUG] frames: total=79, depth_sets=77, color=1280×720,OBFormat.RGB,ts=2615791160, depth=640×576,OBFormat.Y16,ts=2615791161
[DEBUG] frames: total=80, depth_sets=78, color=1280×720,OBFormat.RGB,ts=2615791227, depth=640×576,OBFormat.Y16,ts=2615791228
[DEBUG] frames: total=81, depth_sets=79, color=1280×720,OBFormat.RGB,ts=2615791326, depth=640×576,OBFormat.Y16,ts=2615791328
[DEBUG] frames: total=82, depth_sets=80, color=1280×720,OBFormat.RGB,ts=2615791393, depth=640×576,OBFormat.Y16,ts=2615791394
[DEBUG] frames: total=83, depth_sets=81, color=1280×720,OBFormat.RGB,ts=2615791493, depth=640×576,OBFormat.Y16,ts=2615791494
[DEBUG] frames: total=84, depth_sets=82, color=1280×720,OBFormat.RGB,ts=2615791559, depth=640×576,OBFormat.Y16,ts=2615791560
[DEBUG] frames: total=85, depth_sets=83, color=1280×720,OBFormat.RGB,ts=2615791659, depth=640×576,OBFormat.Y16,ts=2615791660
[DEBUG] frames: total=86, depth_sets=84, color=1280×720,OBFormat.RGB,ts=2615791725, depth=640×576,OBFormat.Y16,ts=2615791727
[DEBUG] frames: total=87, depth_sets=85, color=1280×720,OBFormat.RGB,ts=2615791825, depth=640×576,OBFormat.Y16,ts=2615791826
[DEBUG] frames: total=88, depth_sets=86, color=1280×720,OBFormat.RGB,ts=2615791892, depth=640×576,OBFormat.Y16,ts=2615791893
[DEBUG] frames: total=89, depth_sets=87, color=1280×720,OBFormat.RGB,ts=2615791991, depth=640×576,OBFormat.Y16,ts=2615791993
[DEBUG] frames: total=90, depth_sets=88, color=1280×720,OBFormat.RGB,ts=2615792058, depth=640×576,OBFormat.Y16,ts=2615792059
[DEBUG] frames: total=91, depth_sets=89, color=1280×720,OBFormat.RGB,ts=2615792158, depth=640×576,OBFormat.Y16,ts=2615792159
[DEBUG] frames: total=92, depth_sets=90, color=1280×720,OBFormat.RGB,ts=2615792224, depth=640×576,OBFormat.Y16,ts=2615792225
[DEBUG] frames: total=93, depth_sets=91, color=1280×720,OBFormat.RGB,ts=2615792324, depth=640×576,OBFormat.Y16,ts=2615792325
[DEBUG] frames: total=94, depth_sets=92, color=1280×720,OBFormat.RGB,ts=2615792424, depth=640×576,OBFormat.Y16,ts=2615792425
[DEBUG] frames: total=95, depth_sets=93, color=1280×720,OBFormat.RGB,ts=2615792490, depth=640×576,OBFormat.Y16,ts=2615792491
[DEBUG] frames: total=96, depth_sets=94, color=1280×720,OBFormat.RGB,ts=2615792590, depth=640×576,OBFormat.Y16,ts=2615792591
[DEBUG] frames: total=97, depth_sets=95, color=1280×720,OBFormat.RGB,ts=2615792657, depth=640×576,OBFormat.Y16,ts=2615792658
