[INFO] Session log file: dataset/debug/session_20260520_164514.log
[DEBUG] frames: total=1, depth_sets=0, color=1280×720,OBFormat.RGB,ts=2616465765, depth=None
[WARNING] Align filter returned None
[DEBUG] frames: total=2, depth_sets=1, color=1280×720,OBFormat.RGB,ts=2616465898, depth=640×576,OBFormat.Y16,ts=2616465900
[DEBUG] frames: total=3, depth_sets=2, color=1280×720,OBFormat.RGB,ts=2616466031, depth=640×576,OBFormat.Y16,ts=2616466033
[DEBUG] frames: total=4, depth_sets=3, color=1280×720,OBFormat.RGB,ts=2616466164, depth=640×576,OBFormat.Y16,ts=2616466166
[DEBUG] frames: total=5, depth_sets=4, color=1280×720,OBFormat.RGB,ts=2616466297, depth=640×576,OBFormat.Y16,ts=2616466299
[DEBUG] frames: total=6, depth_sets=5, color=1280×720,OBFormat.RGB,ts=2616466530, depth=640×576,OBFormat.Y16,ts=2616466531
[DEBUG] frames: total=7, depth_sets=6, color=1280×720,OBFormat.RGB,ts=2616466696, depth=640×576,OBFormat.Y16,ts=2616466697
[DEBUG] frames: total=8, depth_sets=7, color=1280×720,OBFormat.RGB,ts=2616466730, depth=640×576,OBFormat.Y16,ts=2616466731
[DEBUG] frames: total=9, depth_sets=8, color=1280×720,OBFormat.RGB,ts=2616466829, depth=640×576,OBFormat.Y16,ts=2616466830
[DEBUG] frames: total=10, depth_sets=9, color=1280×720,OBFormat.RGB,ts=2616466996, depth=640×576,OBFormat.Y16,ts=2616466997
[DEBUG] frames: total=11, depth_sets=10, color=1280×720,OBFormat.RGB,ts=2616467129, depth=640×576,OBFormat.Y16,ts=2616467130
[DEBUG] frames: total=12, depth_sets=11, color=1280×720,OBFormat.RGB,ts=2616467195, depth=640×576,OBFormat.Y16,ts=2616467196
[DEBUG] frames: total=13, depth_sets=12, color=1280×720,OBFormat.RGB,ts=2616467328, depth=640×576,OBFormat.Y16,ts=2616467329
[DEBUG] frames: total=14, depth_sets=13, color=1280×720,OBFormat.RGB,ts=2616467428, depth=640×576,OBFormat.Y16,ts=2616467429
[DEBUG] frames: total=15, depth_sets=14, color=1280×720,OBFormat.RGB,ts=2616467527, depth=640×576,OBFormat.Y16,ts=2616467529
[DEBUG] frames: total=16, depth_sets=15, color=1280×720,OBFormat.RGB,ts=2616467594, depth=640×576,OBFormat.Y16,ts=2616467595
[DEBUG] frames: total=17, depth_sets=16, color=1280×720,OBFormat.RGB,ts=2616467660, depth=640×576,OBFormat.Y16,ts=2616467662
[DEBUG] frames: total=18, depth_sets=17, color=1280×720,OBFormat.RGB,ts=2616467760, depth=640×576,OBFormat.Y16,ts=2616467761
[DEBUG] frames: total=19, depth_sets=18, color=1280×720,OBFormat.RGB,ts=2616467827, depth=640×576,OBFormat.Y16,ts=2616467828
[DEBUG] frames: total=20, depth_sets=19, color=1280×720,OBFormat.RGB,ts=2616467960, depth=640×576,OBFormat.Y16,ts=2616467961
[DEBUG] frames: total=21, depth_sets=20, color=1280×720,OBFormat.RGB,ts=2616468059, depth=640×576,OBFormat.Y16,ts=2616468061
[DEBUG] frames: total=22, depth_sets=21, color=1280×720,OBFormat.RGB,ts=2616468159, depth=640×576,OBFormat.Y16,ts=2616468160
[DEBUG] frames: total=23, depth_sets=22, color=1280×720,OBFormat.RGB,ts=2616468259, depth=640×576,OBFormat.Y16,ts=2616468260
[DEBUG] frames: total=24, depth_sets=23, color=1280×720,OBFormat.RGB,ts=2616468325, depth=640×576,OBFormat.Y16,ts=2616468327
[DEBUG] frames: total=25, depth_sets=24, color=1280×720,OBFormat.RGB,ts=2616468425, depth=640×576,OBFormat.Y16,ts=2616468426
[DEBUG] frames: total=26, depth_sets=25, color=1280×720,OBFormat.RGB,ts=2616468525, depth=640×576,OBFormat.Y16,ts=2616468526
[DEBUG] frames: total=27, depth_sets=26, color=1280×720,OBFormat.RGB,ts=2616468591, depth=640×576,OBFormat.Y16,ts=2616468593
[DEBUG] frames: total=28, depth_sets=27, color=1280×720,OBFormat.RGB,ts=2616468691, depth=640×576,OBFormat.Y16,ts=2616468692
[DEBUG] frames: total=29, depth_sets=28, color=1280×720,OBFormat.RGB,ts=2616468758, depth=640×576,OBFormat.Y16,ts=2616468759
[DEBUG] frames: total=30, depth_sets=29, color=1280×720,OBFormat.RGB,ts=2616468857, depth=640×576,OBFormat.Y16,ts=2616468859
[DEBUG] frames: total=31, depth_sets=30, color=1280×720,OBFormat.RGB,ts=2616468924, depth=640×576,OBFormat.Y16,ts=2616468925
[DEBUG] frames: total=32, depth_sets=31, color=1280×720,OBFormat.RGB,ts=2616469024, depth=640×576,OBFormat.Y16,ts=2616469025
[DEBUG] frames: total=33, depth_sets=32, color=1280×720,OBFormat.RGB,ts=2616469090, depth=640×576,OBFormat.Y16,ts=2616469091
[DEBUG] frames: total=34, depth_sets=33, color=1280×720,OBFormat.RGB,ts=2616469190, depth=640×576,OBFormat.Y16,ts=2616469191
[DEBUG] frames: total=35, depth_sets=34, color=1280×720,OBFormat.RGB,ts=2616469256, depth=640×576,OBFormat.Y16,ts=2616469258
[DEBUG] frames: total=36, depth_sets=35, color=1280×720,OBFormat.RGB,ts=2616469356, depth=640×576,OBFormat.Y16,ts=2616469357
[DEBUG] frames: total=37, depth_sets=36, color=1280×720,OBFormat.RGB,ts=2616469423, depth=640×576,OBFormat.Y16,ts=2616469424
[DEBUG] frames: total=38, depth_sets=37, color=1280×720,OBFormat.RGB,ts=2616469522, depth=640×576,OBFormat.Y16,ts=2616469524
[DEBUG] frames: total=39, depth_sets=38, color=1280×720,OBFormat.RGB,ts=2616469589, depth=640×576,OBFormat.Y16,ts=2616469590
[DEBUG] frames: total=40, depth_sets=39, color=1280×720,OBFormat.RGB,ts=2616469689, depth=640×576,OBFormat.Y16,ts=2616469690
[DEBUG] frames: total=41, depth_sets=40, color=1280×720,OBFormat.RGB,ts=2616469755, depth=640×576,OBFormat.Y16,ts=2616469756
[DEBUG] frames: total=42, depth_sets=41, color=1280×720,OBFormat.RGB,ts=2616469855, depth=640×576,OBFormat.Y16,ts=2616469856
[DEBUG] frames: total=43, depth_sets=42, color=1280×720,OBFormat.RGB,ts=2616469921, depth=640×576,OBFormat.Y16,ts=2616469923
[DEBUG] frames: total=44, depth_sets=43, color=1280×720,OBFormat.RGB,ts=2616470021, depth=640×576,OBFormat.Y16,ts=2616470022
