[INFO] FPS log: live-data/logs/live_fps_20260622_221055.log
[INFO] Loading model: mbest.pt
[INFO] Initializing camera...
[INFO] Ready.  S=screenshot  R=record  Q=quit
[INFO] Inference crop: x=[250:760]  (510px wide — matches training data)
[FPS] live=0.13 fps | infer_avg=7018.5 ms | detections=9 | model=mbest.pt
[FPS] live=0.20 fps | infer_avg=4690.8 ms | detections=9 | model=mbest.pt
[FPS] live=0.33 fps | infer_avg=2895.5 ms | detections=9 | model=mbest.pt
[FPS] live=0.59 fps | infer_avg=1493.3 ms | detections=9 | model=mbest.pt
[FPS] live=0.58 fps | infer_avg=1577.8 ms | detections=9 | model=mbest.pt
[FPS] live=0.55 fps | infer_avg=1658.3 ms | detections=9 | model=mbest.pt
[FPS] live=0.56 fps | infer_avg=1648.3 ms | detections=9 | model=mbest.pt
[FPS] live=0.45 fps | infer_avg=2084.7 ms | detections=9 | model=mbest.pt
[FPS] live=0.22 fps | infer_avg=4180.0 ms | detections=9 | model=mbest.pt
[FPS] live=0.21 fps | infer_avg=4022.6 ms | detections=9 | model=mbest.pt
[FPS] live=0.29 fps | infer_avg=3256.5 ms | detections=9 | model=mbest.pt
[FPS] live=0.29 fps | infer_avg=2990.3 ms | detections=9 | model=mbest.pt
[FPS] live=0.36 fps | infer_avg=2523.5 ms | detections=7 | model=mbest.pt
[FPS] live=0.45 fps | infer_avg=2032.4 ms | detections=8 | model=mbest.pt
[FPS] live=0.39 fps | infer_avg=2427.6 ms | detections=9 | model=mbest.pt
[FPS] live=0.34 fps | infer_avg=2772.5 ms | detections=8 | model=mbest.pt
[FPS] live=0.24 fps | infer_avg=4049.0 ms | detections=6 | model=mbest.pt
[FPS] live=0.30 fps | infer_avg=3136.3 ms | detections=2 | model=mbest.pt
[FPS] live=0.27 fps | infer_avg=3492.2 ms | detections=2 | model=mbest.pt
[FPS] live=0.26 fps | infer_avg=3674.4 ms | detections=2 | model=mbest.pt
[FPS] live=0.30 fps | infer_avg=3197.9 ms | detections=2 | model=mbest.pt
[FPS] live=0.27 fps | infer_avg=3504.9 ms | detections=2 | model=mbest.pt
[FPS] live=0.22 fps | infer_avg=4320.6 ms | detections=2 | model=mbest.pt
[FPS] live=0.22 fps | infer_avg=4535.2 ms | detections=2 | model=mbest.pt
[FPS] live=0.28 fps | infer_avg=3329.8 ms | detections=3 | model=mbest.pt
[FPS] live=0.33 fps | infer_avg=2711.2 ms | detections=5 | model=mbest.pt
[FPS] live=0.22 fps | infer_avg=4368.2 ms | detections=8 | model=mbest.pt
[FPS] live=0.38 fps | infer_avg=2498.3 ms | detections=8 | model=mbest.pt
[FPS] live=0.35 fps | infer_avg=2649.9 ms | detections=8 | model=mbest.pt
[FPS] live=0.38 fps | infer_avg=2391.6 ms | detections=8 | model=mbest.pt
[FPS] live=0.46 fps | infer_avg=2066.0 ms | detections=8 | model=mbest.pt
[FPS] live=0.26 fps | infer_avg=3736.2 ms | detections=6 | model=mbest.pt
[FPS] live=0.29 fps | infer_avg=3365.2 ms | detections=7 | model=mbest.pt
[FPS] live=0.26 fps | infer_avg=3678.0 ms | detections=7 | model=mbest.pt
[FPS] live=0.21 fps | infer_avg=4607.2 ms | detections=7 | model=mbest.pt
[FPS] live=0.21 fps | infer_avg=4598.4 ms | detections=7 | model=mbest.pt
[FPS] live=0.19 fps | infer_avg=4959.6 ms | detections=7 | model=mbest.pt
[FPS] live=0.15 fps | infer_avg=6466.4 ms | detections=7 | model=mbest.pt
[FPS] live=0.25 fps | infer_avg=3525.6 ms | detections=7 | model=mbest.pt
[FPS] live=0.27 fps | infer_avg=3644.1 ms | detections=7 | model=mbest.pt
[FPS] live=0.34 fps | infer_avg=2758.3 ms | detections=7 | model=mbest.pt
[FPS] live=0.37 fps | infer_avg=2508.6 ms | detections=7 | model=mbest.pt
[FPS] live=0.27 fps | infer_avg=3459.0 ms | detections=7 | model=mbest.pt
[FPS] live=0.29 fps | infer_avg=3343.3 ms | detections=7 | model=mbest.pt
[FPS] live=0.29 fps | infer_avg=3275.8 ms | detections=6 | model=mbest.pt
[FPS] live=0.26 fps | infer_avg=3649.7 ms | detections=7 | model=mbest.pt
[FPS] live=0.22 fps | infer_avg=4137.1 ms | detections=7 | model=mbest.pt
[FPS] live=0.33 fps | infer_avg=2901.7 ms | detections=8 | model=mbest.pt
[FPS] live=0.40 fps | infer_avg=2403.6 ms | detections=8 | model=mbest.pt
[FPS] live=0.33 fps | infer_avg=2870.7 ms | detections=7 | model=mbest.pt
[FPS] live=0.28 fps | infer_avg=3300.6 ms | detections=7 | model=mbest.pt
[FPS] live=0.22 fps | infer_avg=4275.1 ms | detections=6 | model=mbest.pt
[FPS] live=0.20 fps | infer_avg=4769.7 ms | detections=7 | model=mbest.pt
[FPS] live=0.25 fps | infer_avg=3719.2 ms | detections=7 | model=mbest.pt
[FPS] live=0.24 fps | infer_avg=3986.8 ms | detections=8 | model=mbest.pt
[FPS] live=0.31 fps | infer_avg=3056.2 ms | detections=8 | model=mbest.pt
[FPS] live=0.43 fps | infer_avg=2187.9 ms | detections=8 | model=mbest.pt
[FPS] live=0.33 fps | infer_avg=2825.4 ms | detections=8 | model=mbest.pt
[FPS] live=0.38 fps | infer_avg=2526.1 ms | detections=8 | model=mbest.pt
[FPS] live=0.31 fps | infer_avg=3058.9 ms | detections=8 | model=mbest.pt
[FPS] live=0.33 fps | infer_avg=2812.4 ms | detections=8 | model=mbest.pt
[FPS] live=0.37 fps | infer_avg=2568.8 ms | detections=8 | model=mbest.pt
[FPS] live=0.37 fps | infer_avg=2559.6 ms | detections=8 | model=mbest.pt
[FPS] live=0.24 fps | infer_avg=3931.1 ms | detections=8 | model=mbest.pt
[FPS] live=0.39 fps | infer_avg=2414.2 ms | detections=8 | model=mbest.pt
[FPS] live=0.20 fps | infer_avg=5012.5 ms | detections=8 | model=mbest.pt
[FPS] live=0.16 fps | infer_avg=6204.1 ms | detections=8 | model=mbest.pt
[FPS] live=0.35 fps | infer_avg=2714.4 ms | detections=8 | model=mbest.pt
[FPS] live=0.42 fps | infer_avg=2244.2 ms | detections=8 | model=mbest.pt
[FPS] live=0.32 fps | infer_avg=2997.7 ms | detections=8 | model=mbest.pt
[FPS] live=0.39 fps | infer_avg=2418.5 ms | detections=8 | model=mbest.pt
[FPS] live=0.34 fps | infer_avg=2804.4 ms | detections=8 | model=mbest.pt
