epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2835,2.80154,5.69003,3.56742,2.16819,0,0.0081,0.22124,0.00471,0.00095,0,0,0,0,3.43759,119.833,4.64809,3.73205,0,0.000197101,0.000197101,0.080487
2,16.3492,2.6592,4.90118,2.99457,2.11257,0,0.00537,0.73895,0.04316,0.0124,0.00196,0.25553,0.00256,0.00044,3.08107,22.3961,3.40383,2.52768,0,0.000395136,0.000395136,0.060685
3,22.409,2.46476,4.65452,2.7184,1.92197,0,0.20541,0.34605,0.16679,0.04895,0.05693,0.10896,0.02126,0.00337,2.7432,11.3761,3.16633,2.29356,0,0.00059119,0.00059119,0.040881
4,28.7611,2.51471,4.57056,2.48821,1.90172,0,0.17929,0.3692,0.22317,0.06984,0.04067,0.0625,0.01081,0.00153,2.81068,16.1721,2.95107,2.37109,0,0.000785264,0.000785264,0.0210751
5,34.8055,2.4898,4.48419,2.33488,1.87316,0,0.4136,0.41026,0.33509,0.12554,0.31491,0.27702,0.21597,0.0579,2.58658,5.94732,2.72741,2.10191,0,0.000977359,0.000977359,0.00126721
6,40.7165,2.43129,4.39631,2.16078,1.78788,0,0.44286,0.4259,0.39343,0.13536,0.38195,0.39757,0.32051,0.11044,2.77091,5.31711,2.57903,2.20622,0,0.00097525,0.00097525,0.00097525
7,46.6371,2.39631,4.30993,2.07322,1.77881,0,0.39386,0.40395,0.2889,0.09137,0.00023,0.02613,0.00011,1e-05,2.75343,7.93911,2.39869,2.26477,0,0.0009703,0.0009703,0.0009703
8,52.549,2.30884,4.25376,1.94606,1.71611,0,0.49455,0.58688,0.53229,0.19041,0.34227,0.28533,0.2562,0.07645,2.43765,5.30123,1.91799,1.88883,0,0.00096535,0.00096535,0.00096535
9,58.4566,2.28204,4.16002,1.8561,1.6746,0,0.2326,0.29658,0.23067,0.0878,0.18622,0.25908,0.16495,0.03944,2.75276,5.14655,2.95613,2.17199,0,0.0009604,0.0009604,0.0009604
10,64.3933,2.29269,4.1225,1.82185,1.69166,0,0.65018,0.72662,0.71532,0.31746,0.57243,0.60749,0.56955,0.20994,2.29848,4.24965,1.67974,1.85658,0,0.00095545,0.00095545,0.00095545
