epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.5057,2.82152,5.74687,3.60446,2.10223,0,0.00492,0.43711,0.0348,0.00587,0,0,0,0,3.32399,65.0272,4.32271,2.84507,0,0.000197101,0.000197101,0.080487
2,13.3156,2.61354,4.93972,2.99377,2.03527,0,0.03152,0.11804,0.0136,0.00323,0.00855,0.06702,0.004,0.00088,3.09886,7.12844,4.06602,2.62112,0,0.000395136,0.000395136,0.060685
3,19.0706,2.47075,4.67817,2.72092,1.92686,0,0.133,0.3302,0.12084,0.03864,0.07543,0.14533,0.03712,0.00854,2.83227,8.44078,3.16887,2.09155,0,0.00059119,0.00059119,0.040881
4,24.8048,2.4838,4.55437,2.51802,1.8672,0,0.20366,0.33824,0.15979,0.04446,0.08015,0.09419,0.02685,0.00381,2.73694,6.4999,3.15481,2.18688,0,0.000785264,0.000785264,0.0210751
5,30.9672,2.47105,4.4532,2.36228,1.84965,0,0.39193,0.38818,0.29572,0.09975,0.31185,0.28726,0.18682,0.05671,2.61572,5.01274,2.73062,2.09193,0,0.000977359,0.000977359,0.00126721
6,36.759,2.39511,4.37404,2.22559,1.79956,0,0.47028,0.57889,0.45932,0.1652,0.3485,0.36677,0.28285,0.07777,2.51965,5.17778,2.94222,2.02117,0,0.00097525,0.00097525,0.00097525
7,42.4408,2.35781,4.33389,2.12695,1.75145,0,0.39747,0.46672,0.4166,0.15924,0.36227,0.30446,0.27128,0.07539,2.54751,5.29802,2.23829,2.01173,0,0.0009703,0.0009703,0.0009703
8,48.1104,2.32311,4.26902,1.99313,1.70827,0,0.556,0.42134,0.42794,0.14954,0.40132,0.35556,0.2873,0.08066,2.61068,4.83213,2.52183,1.99741,0,0.00096535,0.00096535,0.00096535
9,53.8375,2.26771,4.1792,1.95874,1.67055,0,0.4602,0.45408,0.41897,0.15617,0.38934,0.3384,0.28788,0.07507,2.61426,5.16845,2.24816,2.09583,0,0.0009604,0.0009604,0.0009604
10,59.5528,2.25407,4.11009,1.91761,1.67063,0,0.71165,0.59844,0.63584,0.26521,0.56285,0.47689,0.43484,0.16196,2.35657,4.66664,1.77828,1.91639,0,0.00095545,0.00095545,0.00095545
11,65.2847,2.18168,3.97074,1.77,1.59822,0,0.77152,0.62938,0.67549,0.28921,0.67454,0.52478,0.52059,0.17416,2.29088,4.43663,1.77977,1.82288,0,0.0009505,0.0009505,0.0009505
12,71.0275,2.15646,3.98695,1.75215,1.59626,0,0.63614,0.64243,0.6619,0.27333,0.57984,0.52275,0.50725,0.1852,2.4869,4.46288,1.78222,1.99793,0,0.00094555,0.00094555,0.00094555
13,76.7162,2.154,3.93707,1.7136,1.60828,0,0.79465,0.65484,0.73814,0.32008,0.70662,0.53079,0.53692,0.21599,2.45818,4.47239,1.58235,1.94016,0,0.0009406,0.0009406,0.0009406
14,82.4425,2.16365,3.90669,1.68362,1.59615,0,0.6909,0.5655,0.64825,0.27401,0.56062,0.51558,0.50186,0.18847,2.20753,4.2291,1.73127,1.79996,0,0.00093565,0.00093565,0.00093565
15,88.1634,2.09318,3.89272,1.65984,1.54765,0,0.50343,0.5742,0.55916,0.23177,0.38605,0.47704,0.3905,0.13661,2.41373,4.5673,1.89317,1.91481,0,0.0009307,0.0009307,0.0009307
16,93.904,2.05483,3.84377,1.56837,1.52566,0,0.68241,0.56288,0.63544,0.25693,0.52526,0.33972,0.35633,0.10173,2.51714,5.20991,1.987,2.04468,0,0.00092575,0.00092575,0.00092575
17,99.7135,2.07026,3.77568,1.53733,1.54221,0,0.7928,0.70816,0.77991,0.32888,0.68893,0.5636,0.57398,0.23034,2.41147,4.52627,1.45796,1.90473,0,0.0009208,0.0009208,0.0009208
18,105.469,2.0439,3.79869,1.56187,1.54668,0,0.78884,0.68228,0.71112,0.28513,0.65095,0.55635,0.51028,0.21325,2.63931,4.50537,1.68461,2.04041,0,0.00091585,0.00091585,0.00091585
19,111.199,2.04236,3.77848,1.50554,1.52881,0,0.7675,0.783,0.82471,0.37507,0.65294,0.64486,0.62515,0.22415,2.30248,4.24227,1.31488,1.81829,0,0.0009109,0.0009109,0.0009109
